filename,label,ракурс,ракурс_сторона,видимый_глаз,yaw,pitch,roll,aperture_shrinkage,eyelid_thickness,lid_smoothness,eyelid_edge_sharpness,eye_symmetry_anomaly,sclera_iris_boundary,pupil_apparent_size,orbit_area_ratio,periocular_lbp_entropy,eyelid_sss,iris_visible_ratio,iris_center_offset,sclera_asymmetry,landmark_discrepancy,specular_brdf,eye_contour_divergence,subsurface_violation,ear_texture_cliff,skin_tone_mismatch,combined_mean,combined_median,combined_max,eye_mean,cross_mean,zero_count,saturated_count,high_anomaly,metrics_active,natural_flag
2022_12_31.jpg,silicone,light,L,both,-9.614221,-10.023924,0.605129,0.929714,0.45,1.0,1.0,1.0,1.0,0.966383,0.09434,1.0,0.0,0.712742,0.0,0.0,0.974827,0.219237,1.0,0.0,0.896647,0.89013,0.638633,0.896647,1.0,0.627168,0.663473,4,6,12,15,UNNATURAL
2023_03_08.jpg,silicone,light,L,both,-23.043556,-11.495378,4.143189,0.866486,0.9,0.265937,1.0,0.645743,0.302084,1.0,0.011885,1.0,0.0,1.0,0.788932,0.0,1.0,0.051247,0.556649,0.230258,0.904437,0.944868,0.603607,0.788932,1.0,0.598544,0.614576,2,5,10,17,UNNATURAL
2023_03_18.jpg,silicone,light,R,both,24.970703,24.387304,22.031464,1.0,0.35,0.732935,0.747496,0.0,1.0,0.73024,0.47327,1.0,0.0,0.0,0.29838,1.0,1.0,0.459501,0.81282,0.28095,0.66692,0.0,0.555395,0.66692,1.0,0.564025,0.536698,4,5,9,15,UNNATURAL
2023_03_22.jpg,silicone,light,R,both,6.706793,-10.362364,-0.699179,1.0,0.75,0.145679,1.0,1.0,0.072917,1.0,0.0,0.837379,0.0,0.0,0.099309,1.0,0.944695,0.400465,0.884951,0.0,0.0,0.882719,0.527269,0.75,1.0,0.531176,0.518805,5,5,10,14,UNNATURAL
2023_04_29.jpg,silicone,light,R,both,12.667261,-6.663312,-1.445384,1.0,0.8,0.504676,0.748027,0.687277,1.0,1.0,0.038552,0.874008,0.0,0.0,1.0,1.0,0.987289,0.0,0.449296,0.0,0.285501,0.200646,0.556593,0.687277,1.0,0.66558,0.320455,4,5,9,15,UNNATURAL
2023_07_27.jpg,silicone,frontal,C,both,0.0,0.0,0.0,1.0,0.6,0.288442,1.0,0.679217,1.0,1.0,0.510142,1.0,0.521242,1.0,1.0,1.0,0.80179,0.0,0.536327,0.021439,0.533851,0.473233,0.682404,0.679217,1.0,0.815311,0.39444,1,8,9,18,UNNATURAL
2023_08_17.jpg,silicone,frontal,C,both,0.0,0.0,0.0,1.0,1.0,0.985659,1.0,1.0,1.0,1.0,0.244298,1.0,0.0,0.993347,0.304778,1.0,1.0,0.221353,0.793685,0.0,0.985638,0.383588,0.732229,0.993347,1.0,0.809852,0.564044,2,10,13,17,UNNATURAL
2023_12_05.jpg,silicone,frontal,C,both,0.0,0.0,0.0,0.975086,0.65,0.680529,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.063131,1.0,1.0,0.628278,0.247669,0.524675,0.141783,0.67145,0.848841,0.654286,0.680529,1.0,0.720673,0.510449,2,7,9,17,UNNATURAL
2024_02_22 (2).jpg,silicone,light,L,both,-17.488411,-14.154187,2.46265,1.0,0.4,0.584932,0.724691,1.0,1.0,0.992673,0.634572,1.0,0.316462,1.0,0.806861,1.0,0.803106,0.0,0.660807,0.272317,0.0,0.0,0.641917,0.724691,1.0,0.80463,0.289372,3,7,10,16,UNNATURAL
2024_03_02.jpg,silicone,frontal,C,both,-0.259068,-9.395289,-1.092007,1.0,0.75,0.98225,0.8732,1.0,1.0,1.0,0.008713,1.0,0.0,0.080568,0.914098,1.0,0.904281,0.0,0.646646,0.197828,0.838865,0.882657,0.688374,0.882657,1.0,0.739141,0.57838,2,6,13,17,UNNATURAL
2024_06_19.jpg,silicone,light,L,both,-20.928907,-16.109394,4.547187,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.529113,1.0,0.0,1.0,0.925124,1.0,1.0,0.133899,0.960104,0.041144,0.0,0.518736,0.72148,1.0,1.0,0.850326,0.442314,2,10,12,17,UNNATURAL
2024_06_20.jpg,silicone,frontal,C,both,0.0,0.0,0.0,1.0,0.5,0.0,0.706468,0.506419,1.0,1.0,0.40038,0.237233,0.0,1.0,1.0,1.0,0.715036,0.0,0.798679,0.252078,0.75995,0.928635,0.621309,0.715036,1.0,0.642346,0.57573,3,6,11,16,UNNATURAL
2024_07_03.jpg,silicone,frontal,C,both,0.0,0.0,0.0,0.866314,0.75,1.0,1.0,1.0,1.0,1.0,0.246373,1.0,0.004939,0.168991,0.839375,0.0,0.770353,0.558495,0.492842,0.102061,0.522821,0.338198,0.613724,0.75,1.0,0.682769,0.464128,1,6,10,18,UNNATURAL
2024_08_21.jpg,silicone,profile_skipped,,both,81.824829,10.861753,11.56229,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,UNKNOWN
2024_09_07.jpg,silicone,frontal,C,both,0.0,0.0,0.0,0.987068,0.65,0.783818,1.0,1.0,1.0,1.0,0.560173,1.0,1.0,0.646364,1.0,0.138025,0.937192,0.35354,0.218381,0.647074,0.763683,0.797387,0.762248,0.797387,1.0,0.828111,0.619543,0,7,12,19,UNNATURAL
2024_10_04.jpg,silicone,light,L,both,-9.321126,-11.340184,0.460242,0.961552,0.65,0.515674,1.0,1.0,0.864583,0.784664,0.0,1.0,0.0,0.0,1.0,0.0,0.841404,0.223385,0.432614,0.218383,0.908655,0.93934,0.596855,0.784664,1.0,0.59819,0.593963,4,4,10,15,UNNATURAL
2024_11_06.jpg,silicone,frontal,C,both,0.0,0.0,0.0,1.0,0.75,0.524509,1.0,1.0,1.0,1.0,0.017745,1.0,0.158781,0.0,1.0,0.446207,0.7078,0.852681,0.41628,0.149811,0.937185,0.867428,0.67518,0.852681,1.0,0.684403,0.655197,1,7,12,18,UNNATURAL
2024_12_19 (6).jpg,silicone,light,L,both,-7.065137,-11.087879,0.284026,0.908887,0.6,0.240325,0.970638,1.0,0.21875,0.063864,0.0,1.0,0.0,0.0,1.0,0.0,0.705327,0.142041,0.317836,0.140464,0.765343,0.933611,0.474057,0.317836,1.0,0.461728,0.50077,4,3,8,15,UNNATURAL
2025_02_21.jpg,silicone,frontal,C,both,0.0,0.0,0.0,1.0,0.85,0.851188,1.0,1.0,0.437501,1.0,0.033944,1.0,0.0,0.08728,0.836498,0.0,1.0,0.414654,0.634745,0.2327,0.566519,0.885447,0.622657,0.836498,1.0,0.622801,0.622344,2,6,10,17,UNNATURAL
2025_03_17.jpg,silicone,frontal,C,both,-2.625201,-12.683989,-1.034689,1.0,0.45,1.0,0.788459,1.0,1.0,1.0,0.37837,1.0,0.108215,1.0,1.0,1.0,0.892403,0.516281,0.699969,0.282969,0.834088,0.831236,0.777999,0.892403,1.0,0.825003,0.676158,0,9,13,19,UNNATURAL
2025_03_27 (3).jpg,silicone,frontal,C,both,0.0,0.0,0.0,0.979331,0.85,0.076635,1.0,1.0,1.0,0.563552,0.025291,1.0,0.0,0.020655,0.931137,0.382921,1.0,0.757101,0.501427,0.333333,0.692018,0.888107,0.631658,0.757101,1.0,0.602271,0.695331,1,5,10,18,UNNATURAL
2026_03_25.jpg,silicone,deep,L,both,-45.461224,-1.990546,3.760597,1.0,0.3,0.448306,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.025727,1.0,0.071416,0.441317,0.275489,0.651414,0.541029,0.618668,0.651414,1.0,0.674926,0.496777,2,9,9,17,UNNATURAL
